iter	Passed	Remaining
592	8002	5492
593	8015	5478
594	8026	5463
595	8040	5450
596	8054	5436
597	8067	5423
598	8079	5408
599	8090	5393
600	8102	5379
601	8115	5365
602	8129	5352
603	8141	5337
604	8153	5323
605	8166	5309
606	8178	5294
607	8190	5280
608	8202	5266
609	8216	5253
610	8230	5239
611	8242	5225
612	8255	5211
613	8267	5197
614	8279	5183
615	8290	5168
616	8302	5153
617	8314	5139
618	8325	5124
619	8338	5110
620	8351	5097
621	8364	5083
622	8376	5069
623	8388	5054
624	8401	5040
625	8413	5026
626	8428	5014
627	8443	5001
628	8455	4987
629	8467	4973
630	8480	4959
631	8493	4945
632	8504	4930
633	8516	4916
634	8530	4903
635	8543	4889
636	8557	4876
637	8568	4861
638	8582	4848
639	8594	4834
640	8606	4820
641	8621	4807
642	8633	4793
643	8646	4779
644	8658	4765
645	8669	4750
646	8681	4736
647	8693	4722
648	8706	4708
649	8718	4694
650	8731	4680
651	8744	4667
652	8757	4653
653	8769	4639
654	8781	4625
655	8793	4611
656	8806	4597
657	8817	4583
658	8832	4570
659	8845	4556
660	8858	4543
661	8871	4529
662	8883	4515
663	8895	4501
664	8908	4487
665	8921	4474
666	8934	4460
667	8946	4446
668	8960	4433
669	8972	4419
670	8986	4405
671	8998	4392
672	9011	4378
673	9023	4364
674	9036	4350
675	9047	4336
676	9061	4323
677	9075	4309
678	9088	4296
679	9100	4282
680	9111	4268
681	9124	4254
682	9137	4240
683	9149	4226
684	9160	4212
685	9174	4199
686	9187	4185
687	9200	4172
688	9212	4158
689	9225	4144
690	9241	4132
691	9254	4119
692	9266	4105
693	9278	4091
694	9292	4077
695	9304	4063
696	9317	4050
697	9330	4036
698	9342	4023
699	9355	4009
700	9367	3995
701	9380	3982
702	9393	3968
703	9405	3954
704	9417	3940
705	9430	3927
706	9443	3913
707	9455	3899
708	9468	3886
709	9480	3872
710	9492	3858
711	9506	3845
712	9518	3831
713	9531	3817
714	9542	3803
715	9554	3789
716	9566	3776
717	9578	3761
718	9590	3748
719	9604	3734
720	9616	3721
721	9629	3707
722	9643	3694
723	9654	3680
724	9666	3666
725	9679	3653
726	9690	3639
727	9703	3625
728	9717	3612
729	9728	3598
730	9741	3584
731	9753	3570
732	9764	3556
733	9777	3543
734	9788	3529
735	9801	3515
736	9816	3502
737	9829	3489
738	9841	3475
739	9852	3461
740	9865	3448
741	9878	3434
742	9890	3420
743	9901	3407
744	9914	3393
745	9927	3380
746	9939	3366
747	9951	3352
748	9963	3338
749	9975	3325
750	9987	3311
751	9998	3297
752	10010	3283
753	10023	3270
754	10038	3257
755	10051	3244
756	10064	3230
757	10076	3216
758	10089	3203
759	10101	3189
760	10114	3176
761	10127	3163
762	10139	3149
763	10152	3136
764	10164	3122
765	10177	3109
766	10190	3095
767	10201	3081
768	10214	3068
769	10227	3055
770	10241	3042
771	10254	3028
772	10267	3015
773	10279	3001
774	10292	2988
775	10304	2974
776	10315	2960
777	10327	2946
778	10339	2933
779	10353	2920
780	10365	2906
781	10377	2892
782	10389	2879
783	10401	2865
784	10413	2852
785	10425	2838
786	10442	2826
787	10455	2812
788	10468	2799
789	10481	2786
790	10493	2772
791	10506	2759
792	10519	2745
793	10532	2732
794	10543	2718
795	10557	2705
796	10570	2692
797	10584	2679
798	10597	2665
799	10608	2652
800	10620	2638
801	10632	2625
802	10644	2611
803	10657	2598
804	10671	2584
805	10683	2571
806	10696	2558
807	10709	2544
808	10721	2531
809	10733	2517
810	10747	2504
811	10758	2490
812	10772	2477
813	10784	2464
814	10796	2450
815	10809	2437
816	10821	2423
817	10836	2411
818	10848	2397
819	10861	2384
820	10873	2370
821	10887	2357
822	10900	2344
823	10914	2331
824	10925	2317
825	10937	2304
826	10948	2290
827	10961	2276
828	10973	2263
829	10986	2250
830	10998	2236
831	11011	2223
832	11022	2209
833	11036	2196
834	11049	2183
835	11061	2169
836	11073	2156
837	11086	2143
838	11099	2129
839	11112	2116
840	11125	2103
841	11136	2089
842	11149	2076
843	11162	2063
844	11175	2049
845	11187	2036
846	11200	2023
847	11213	2010
848	11228	1996
849	11241	1983
850	11253	1970
851	11266	1957
852	11279	1943
853	11291	1930
854	11304	1917
855	11316	1903
856	11329	1890
857	11341	1876
858	11354	1863
859	11367	1850
860	11379	1837
861	11392	1823
862	11404	1810
863	11416	1797
864	11427	1783
865	11439	1770
866	11452	1756
867	11463	1743
868	11476	1730
869	11488	1716
870	11501	1703
871	11515	1690
872	11526	1676
873	11539	1663
874	11552	1650
875	11565	1637
876	11578	1623
877	11589	1610
878	11602	1597
879	11614	1583
880	11628	1570
881	11641	1557
882	11654	1544
883	11667	1531
884	11679	1517
885	11691	1504
886	11704	1491
887	11717	1477
888	11731	1464
889	11744	1451
890	11759	1438
891	11774	1425
892	11788	1412
893	11802	1399
894	11815	1386
895	11831	1373
896	11844	1360
897	11857	1346
898	11871	1333
899	11884	1320
900	11897	1307
901	11910	1294
902	11924	1280
903	11936	1267
904	11950	1254
905	11963	1241
906	11975	1227
907	11987	1214
908	11999	1201
909	12011	1187
910	12026	1174
911	12038	1161
912	12051	1148
913	12062	1135
914	12074	1121
915	12086	1108
916	12098	1095
917	12113	1082
918	12127	1068
919	12141	1055
920	12154	1042
921	12168	1029
922	12182	1016
923	12195	1003
924	12209	989
925	12221	976
926	12235	963
927	12247	950
928	12260	936
929	12272	923
930	12283	910
931	12296	897
932	12309	883
933	12321	870
934	12334	857
935	12347	844
936	12360	831
937	12374	817
938	12386	804
939	12402	791
940	12416	778
941	12430	765
942	12444	752
943	12458	739
944	12470	725
945	12483	712
946	12496	699
947	12508	686
948	12520	672
949	12533	659
950	12545	646
951	12558	633
952	12572	620
953	12584	606
954	12596	593
955	12609	580
956	12622	567
957	12634	553
958	12647	540
959	12660	527
960	12672	514
961	12685	501
962	12697	487
963	12709	474
964	12721	461
965	12733	448
966	12745	434
967	12759	421
968	12772	408
969	12795	395
970	12813	382
971	12831	369
972	12843	356
973	12856	343
974	12869	329
975	12881	316
976	12895	303
977	12907	290
978	12920	277
979	12933	263
980	12945	250
981	12959	237
982	12973	224
983	12986	211
984	12998	197
985	13011	184
